scenario_id,model,display_name,method,joint_revision_success,memory_state_accuracy,num_events,num_expected_evidence,approx_token_count
case-203554,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203555,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203556,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203557,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203558,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203559,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203560,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203561,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203562,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203563,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203564,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203565,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203566,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203567,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203568,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203569,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203570,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203571,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203572,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203573,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203574,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203575,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203576,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203577,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203578,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203579,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203580,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203581,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203582,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203583,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203584,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203585,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203586,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203587,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203588,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203589,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203590,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203591,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203592,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203593,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203594,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203595,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203596,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203597,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203598,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203599,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203600,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203601,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203602,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203603,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203604,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203605,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203606,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203607,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203608,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203609,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203610,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203611,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203612,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203613,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203614,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203615,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203616,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203617,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203618,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203619,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203620,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203621,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203622,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203623,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203624,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203625,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203626,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203627,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203628,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203629,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203630,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203631,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203632,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203633,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203634,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203635,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203636,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203637,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203638,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203639,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203640,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203641,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203642,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203643,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203644,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203645,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203646,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203647,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203648,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203649,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203650,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203651,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203652,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203653,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203654,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203655,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203656,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203657,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203658,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203659,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203660,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203661,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203662,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203663,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203664,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203665,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203666,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203667,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203668,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203669,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203670,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203671,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203672,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203673,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203674,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203675,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203676,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203677,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203678,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203679,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203680,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203681,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203682,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203683,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203684,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203685,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203686,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203687,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203688,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203689,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203690,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203691,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203692,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203693,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203694,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203695,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203696,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203697,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203698,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203699,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203700,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203701,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203702,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203703,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203704,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203705,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203706,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203707,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203708,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203709,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203710,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203711,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203712,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203713,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203714,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203715,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203716,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203717,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203718,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203719,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203720,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203721,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203722,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203723,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,231
case-203724,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,233
case-203725,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,230
case-203726,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203727,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203728,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203729,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203730,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203731,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203732,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203733,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203734,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203735,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203736,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203737,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203738,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203739,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203740,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203741,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203742,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203743,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203744,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203745,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203746,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203747,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203748,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203749,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203750,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203751,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203752,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203753,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203754,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203755,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203756,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203757,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203758,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203759,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203760,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203761,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203762,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203763,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203764,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203765,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203766,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203767,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203768,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203769,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203770,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203771,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203772,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203773,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203774,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203775,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203776,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203777,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203778,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203779,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203780,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203781,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203782,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203783,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203784,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203785,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203786,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203787,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203788,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203789,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203790,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203791,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203792,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203793,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203794,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203795,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203796,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203797,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203798,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203799,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203800,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203801,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203802,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203803,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203804,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203805,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203806,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203807,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203808,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203809,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203810,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203811,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203812,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203813,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203814,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
case-203815,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,232
case-203816,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,221
case-203817,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,220
case-203818,gemma3_12b,Gemma-3-12B,Direct,0.0,0.6666666666666666,7,2,225
