pair_id,case_id,scenario_1_id,scenario_2_id,decision_1,decision_2,causal_delta
pair_29,CASE-3654_vs_CASE-3831,case-3655,case-3832,escalate,refuse_due_to_policy,trigger_phrase
pair_30,CASE-3654_vs_CASE-3833,case-3655,case-3834,escalate,refuse_due_to_policy,trigger_phrase
pair_31,CASE-3654_vs_CASE-3835,case-3655,case-3836,escalate,refuse_due_to_policy,trigger_phrase
pair_32,CASE-3654_vs_CASE-3837,case-3655,case-3838,escalate,refuse_due_to_policy,trigger_phrase
pair_33,CASE-3654_vs_CASE-3839,case-3655,case-3840,escalate,refuse_due_to_policy,trigger_phrase
pair_34,CASE-3654_vs_CASE-3841,case-3655,case-3842,escalate,refuse_due_to_policy,trigger_phrase
pair_35,CASE-3654_vs_CASE-3843,case-3655,case-3844,escalate,refuse_due_to_policy,trigger_phrase
pair_36,CASE-3654_vs_CASE-3845,case-3655,case-3846,escalate,refuse_due_to_policy,trigger_phrase
pair_37,CASE-3654_vs_CASE-3847,case-3655,case-3848,escalate,refuse_due_to_policy,trigger_phrase
pair_38,CASE-3654_vs_CASE-3849,case-3655,case-3850,escalate,refuse_due_to_policy,trigger_phrase
pair_39,CASE-3654_vs_CASE-3851,case-3655,case-3852,escalate,refuse_due_to_policy,trigger_phrase
pair_40,CASE-3654_vs_CASE-3853,case-3655,case-3854,escalate,refuse_due_to_policy,trigger_phrase
pair_41,CASE-3654_vs_CASE-3855,case-3655,case-3856,escalate,refuse_due_to_policy,trigger_phrase
pair_42,CASE-3654_vs_CASE-3857,case-3655,case-3858,escalate,refuse_due_to_policy,trigger_phrase
pair_43,CASE-3654_vs_CASE-3859,case-3655,case-3860,escalate,refuse_due_to_policy,trigger_phrase
pair_44,CASE-3654_vs_CASE-3861,case-3655,case-3862,escalate,refuse_due_to_policy,trigger_phrase
pair_45,CASE-3654_vs_CASE-3863,case-3655,case-3864,escalate,refuse_due_to_policy,trigger_phrase
pair_46,CASE-3654_vs_CASE-3865,case-3655,case-3866,escalate,refuse_due_to_policy,trigger_phrase
pair_47,CASE-3654_vs_CASE-3867,case-3655,case-3868,escalate,refuse_due_to_policy,trigger_phrase
pair_48,CASE-3654_vs_CASE-3869,case-3655,case-3870,escalate,refuse_due_to_policy,trigger_phrase
pair_49,CASE-3654_vs_CASE-3871,case-3655,case-3872,escalate,refuse_due_to_policy,trigger_phrase
pair_50,CASE-3654_vs_CASE-3873,case-3655,case-3874,escalate,refuse_due_to_policy,trigger_phrase
pair_51,CASE-3657_vs_CASE-3825,case-3658,case-3826,escalate,refuse_due_to_policy,trigger_phrase
pair_52,CASE-3657_vs_CASE-3827,case-3658,case-3828,escalate,refuse_due_to_policy,trigger_phrase
pair_53,CASE-3657_vs_CASE-3829,case-3658,case-3830,escalate,refuse_due_to_policy,trigger_phrase
pair_54,CASE-3657_vs_CASE-3831,case-3658,case-3832,escalate,refuse_due_to_policy,trigger_phrase
pair_55,CASE-3657_vs_CASE-3833,case-3658,case-3834,escalate,refuse_due_to_policy,trigger_phrase
pair_56,CASE-3657_vs_CASE-3835,case-3658,case-3836,escalate,refuse_due_to_policy,trigger_phrase
pair_57,CASE-3657_vs_CASE-3837,case-3658,case-3838,escalate,refuse_due_to_policy,trigger_phrase
pair_58,CASE-3657_vs_CASE-3839,case-3658,case-3840,escalate,refuse_due_to_policy,trigger_phrase
pair_59,CASE-3657_vs_CASE-3841,case-3658,case-3842,escalate,refuse_due_to_policy,trigger_phrase
pair_60,CASE-3657_vs_CASE-3843,case-3658,case-3844,escalate,refuse_due_to_policy,trigger_phrase
pair_61,CASE-3657_vs_CASE-3845,case-3658,case-3846,escalate,refuse_due_to_policy,trigger_phrase
pair_62,CASE-3657_vs_CASE-3847,case-3658,case-3848,escalate,refuse_due_to_policy,trigger_phrase
pair_63,CASE-3657_vs_CASE-3849,case-3658,case-3850,escalate,refuse_due_to_policy,trigger_phrase
pair_64,CASE-3657_vs_CASE-3851,case-3658,case-3852,escalate,refuse_due_to_policy,trigger_phrase
pair_65,CASE-3657_vs_CASE-3853,case-3658,case-3854,escalate,refuse_due_to_policy,trigger_phrase
pair_66,CASE-3657_vs_CASE-3855,case-3658,case-3856,escalate,refuse_due_to_policy,trigger_phrase
pair_67,CASE-3657_vs_CASE-3857,case-3658,case-3858,escalate,refuse_due_to_policy,trigger_phrase
pair_68,CASE-3657_vs_CASE-3859,case-3658,case-3860,escalate,refuse_due_to_policy,trigger_phrase
pair_69,CASE-3657_vs_CASE-3861,case-3658,case-3862,escalate,refuse_due_to_policy,trigger_phrase
pair_70,CASE-3657_vs_CASE-3863,case-3658,case-3864,escalate,refuse_due_to_policy,trigger_phrase
pair_71,CASE-3657_vs_CASE-3865,case-3658,case-3866,escalate,refuse_due_to_policy,trigger_phrase
pair_72,CASE-3657_vs_CASE-3867,case-3658,case-3868,escalate,refuse_due_to_policy,trigger_phrase
pair_73,CASE-3657_vs_CASE-3869,case-3658,case-3870,escalate,refuse_due_to_policy,trigger_phrase
pair_74,CASE-3657_vs_CASE-3871,case-3658,case-3872,escalate,refuse_due_to_policy,trigger_phrase
pair_75,CASE-3657_vs_CASE-3873,case-3658,case-3874,escalate,refuse_due_to_policy,trigger_phrase
pair_76,CASE-3660_vs_CASE-3825,case-3661,case-3826,escalate,refuse_due_to_policy,trigger_phrase
pair_77,CASE-3660_vs_CASE-3827,case-3661,case-3828,escalate,refuse_due_to_policy,trigger_phrase
pair_78,CASE-3660_vs_CASE-3829,case-3661,case-3830,escalate,refuse_due_to_policy,trigger_phrase
pair_79,CASE-3660_vs_CASE-3831,case-3661,case-3832,escalate,refuse_due_to_policy,trigger_phrase
pair_80,CASE-3660_vs_CASE-3833,case-3661,case-3834,escalate,refuse_due_to_policy,trigger_phrase
pair_81,CASE-3660_vs_CASE-3835,case-3661,case-3836,escalate,refuse_due_to_policy,trigger_phrase
pair_82,CASE-3660_vs_CASE-3837,case-3661,case-3838,escalate,refuse_due_to_policy,trigger_phrase
pair_83,CASE-3660_vs_CASE-3839,case-3661,case-3840,escalate,refuse_due_to_policy,trigger_phrase
pair_84,CASE-3660_vs_CASE-3841,case-3661,case-3842,escalate,refuse_due_to_policy,trigger_phrase
pair_85,CASE-3660_vs_CASE-3843,case-3661,case-3844,escalate,refuse_due_to_policy,trigger_phrase
pair_86,CASE-3660_vs_CASE-3845,case-3661,case-3846,escalate,refuse_due_to_policy,trigger_phrase
pair_87,CASE-3660_vs_CASE-3847,case-3661,case-3848,escalate,refuse_due_to_policy,trigger_phrase
pair_88,CASE-3660_vs_CASE-3849,case-3661,case-3850,escalate,refuse_due_to_policy,trigger_phrase
pair_89,CASE-3660_vs_CASE-3851,case-3661,case-3852,escalate,refuse_due_to_policy,trigger_phrase
pair_90,CASE-3660_vs_CASE-3853,case-3661,case-3854,escalate,refuse_due_to_policy,trigger_phrase
pair_91,CASE-3660_vs_CASE-3855,case-3661,case-3856,escalate,refuse_due_to_policy,trigger_phrase
pair_92,CASE-3660_vs_CASE-3857,case-3661,case-3858,escalate,refuse_due_to_policy,trigger_phrase
pair_93,CASE-3660_vs_CASE-3859,case-3661,case-3860,escalate,refuse_due_to_policy,trigger_phrase
pair_94,CASE-3660_vs_CASE-3861,case-3661,case-3862,escalate,refuse_due_to_policy,trigger_phrase
pair_95,CASE-3660_vs_CASE-3863,case-3661,case-3864,escalate,refuse_due_to_policy,trigger_phrase
pair_96,CASE-3660_vs_CASE-3865,case-3661,case-3866,escalate,refuse_due_to_policy,trigger_phrase
pair_97,CASE-3660_vs_CASE-3867,case-3661,case-3868,escalate,refuse_due_to_policy,trigger_phrase
pair_98,CASE-3660_vs_CASE-3869,case-3661,case-3870,escalate,refuse_due_to_policy,trigger_phrase
pair_99,CASE-3660_vs_CASE-3871,case-3661,case-3872,escalate,refuse_due_to_policy,trigger_phrase
pair_100,CASE-3660_vs_CASE-3873,case-3661,case-3874,escalate,refuse_due_to_policy,trigger_phrase
pair_101,CASE-3663_vs_CASE-3825,case-3664,case-3826,escalate,refuse_due_to_policy,trigger_phrase
pair_102,CASE-3663_vs_CASE-3827,case-3664,case-3828,escalate,refuse_due_to_policy,trigger_phrase
pair_103,CASE-3663_vs_CASE-3829,case-3664,case-3830,escalate,refuse_due_to_policy,trigger_phrase
pair_104,CASE-3663_vs_CASE-3831,case-3664,case-3832,escalate,refuse_due_to_policy,trigger_phrase
pair_105,CASE-3663_vs_CASE-3833,case-3664,case-3834,escalate,refuse_due_to_policy,trigger_phrase
pair_106,CASE-3663_vs_CASE-3835,case-3664,case-3836,escalate,refuse_due_to_policy,trigger_phrase
pair_107,CASE-3663_vs_CASE-3837,case-3664,case-3838,escalate,refuse_due_to_policy,trigger_phrase
pair_108,CASE-3663_vs_CASE-3839,case-3664,case-3840,escalate,refuse_due_to_policy,trigger_phrase
pair_109,CASE-3663_vs_CASE-3841,case-3664,case-3842,escalate,refuse_due_to_policy,trigger_phrase
pair_110,CASE-3663_vs_CASE-3843,case-3664,case-3844,escalate,refuse_due_to_policy,trigger_phrase
pair_111,CASE-3663_vs_CASE-3845,case-3664,case-3846,escalate,refuse_due_to_policy,trigger_phrase
pair_112,CASE-3663_vs_CASE-3847,case-3664,case-3848,escalate,refuse_due_to_policy,trigger_phrase
pair_113,CASE-3663_vs_CASE-3849,case-3664,case-3850,escalate,refuse_due_to_policy,trigger_phrase
pair_114,CASE-3663_vs_CASE-3851,case-3664,case-3852,escalate,refuse_due_to_policy,trigger_phrase
pair_115,CASE-3663_vs_CASE-3853,case-3664,case-3854,escalate,refuse_due_to_policy,trigger_phrase
pair_116,CASE-3663_vs_CASE-3855,case-3664,case-3856,escalate,refuse_due_to_policy,trigger_phrase
pair_117,CASE-3663_vs_CASE-3857,case-3664,case-3858,escalate,refuse_due_to_policy,trigger_phrase
pair_118,CASE-3663_vs_CASE-3859,case-3664,case-3860,escalate,refuse_due_to_policy,trigger_phrase
pair_119,CASE-3663_vs_CASE-3861,case-3664,case-3862,escalate,refuse_due_to_policy,trigger_phrase
pair_120,CASE-3663_vs_CASE-3863,case-3664,case-3864,escalate,refuse_due_to_policy,trigger_phrase
pair_121,CASE-3663_vs_CASE-3865,case-3664,case-3866,escalate,refuse_due_to_policy,trigger_phrase
pair_122,CASE-3663_vs_CASE-3867,case-3664,case-3868,escalate,refuse_due_to_policy,trigger_phrase
pair_123,CASE-3663_vs_CASE-3869,case-3664,case-3870,escalate,refuse_due_to_policy,trigger_phrase
pair_124,CASE-3663_vs_CASE-3871,case-3664,case-3872,escalate,refuse_due_to_policy,trigger_phrase
pair_125,CASE-3663_vs_CASE-3873,case-3664,case-3874,escalate,refuse_due_to_policy,trigger_phrase
pair_126,CASE-3666_vs_CASE-3825,case-3667,case-3826,escalate,refuse_due_to_policy,trigger_phrase
pair_127,CASE-3666_vs_CASE-3827,case-3667,case-3828,escalate,refuse_due_to_policy,trigger_phrase
pair_128,CASE-3666_vs_CASE-3829,case-3667,case-3830,escalate,refuse_due_to_policy,trigger_phrase
pair_129,CASE-3666_vs_CASE-3831,case-3667,case-3832,escalate,refuse_due_to_policy,trigger_phrase
pair_130,CASE-3666_vs_CASE-3833,case-3667,case-3834,escalate,refuse_due_to_policy,trigger_phrase
pair_131,CASE-3666_vs_CASE-3835,case-3667,case-3836,escalate,refuse_due_to_policy,trigger_phrase
pair_132,CASE-3666_vs_CASE-3837,case-3667,case-3838,escalate,refuse_due_to_policy,trigger_phrase
pair_133,CASE-3666_vs_CASE-3839,case-3667,case-3840,escalate,refuse_due_to_policy,trigger_phrase
pair_134,CASE-3666_vs_CASE-3841,case-3667,case-3842,escalate,refuse_due_to_policy,trigger_phrase
pair_135,CASE-3666_vs_CASE-3843,case-3667,case-3844,escalate,refuse_due_to_policy,trigger_phrase
pair_136,CASE-3666_vs_CASE-3845,case-3667,case-3846,escalate,refuse_due_to_policy,trigger_phrase
pair_137,CASE-3666_vs_CASE-3847,case-3667,case-3848,escalate,refuse_due_to_policy,trigger_phrase
pair_138,CASE-3666_vs_CASE-3849,case-3667,case-3850,escalate,refuse_due_to_policy,trigger_phrase
pair_139,CASE-3666_vs_CASE-3851,case-3667,case-3852,escalate,refuse_due_to_policy,trigger_phrase
pair_140,CASE-3666_vs_CASE-3853,case-3667,case-3854,escalate,refuse_due_to_policy,trigger_phrase
pair_141,CASE-3666_vs_CASE-3855,case-3667,case-3856,escalate,refuse_due_to_policy,trigger_phrase
pair_142,CASE-3666_vs_CASE-3857,case-3667,case-3858,escalate,refuse_due_to_policy,trigger_phrase
pair_143,CASE-3666_vs_CASE-3859,case-3667,case-3860,escalate,refuse_due_to_policy,trigger_phrase
pair_144,CASE-3666_vs_CASE-3861,case-3667,case-3862,escalate,refuse_due_to_policy,trigger_phrase
pair_145,CASE-3666_vs_CASE-3863,case-3667,case-3864,escalate,refuse_due_to_policy,trigger_phrase
pair_146,CASE-3666_vs_CASE-3865,case-3667,case-3866,escalate,refuse_due_to_policy,trigger_phrase
pair_147,CASE-3666_vs_CASE-3867,case-3667,case-3868,escalate,refuse_due_to_policy,trigger_phrase
pair_148,CASE-3666_vs_CASE-3869,case-3667,case-3870,escalate,refuse_due_to_policy,trigger_phrase
pair_149,CASE-3666_vs_CASE-3871,case-3667,case-3872,escalate,refuse_due_to_policy,trigger_phrase
pair_150,CASE-3666_vs_CASE-3873,case-3667,case-3874,escalate,refuse_due_to_policy,trigger_phrase
pair_151,CASE-3669_vs_CASE-3825,case-3670,case-3826,escalate,refuse_due_to_policy,trigger_phrase
pair_152,CASE-3669_vs_CASE-3827,case-3670,case-3828,escalate,refuse_due_to_policy,trigger_phrase
pair_153,CASE-3669_vs_CASE-3829,case-3670,case-3830,escalate,refuse_due_to_policy,trigger_phrase
pair_154,CASE-3669_vs_CASE-3831,case-3670,case-3832,escalate,refuse_due_to_policy,trigger_phrase
pair_155,CASE-3669_vs_CASE-3833,case-3670,case-3834,escalate,refuse_due_to_policy,trigger_phrase
pair_156,CASE-3669_vs_CASE-3835,case-3670,case-3836,escalate,refuse_due_to_policy,trigger_phrase
pair_157,CASE-3669_vs_CASE-3837,case-3670,case-3838,escalate,refuse_due_to_policy,trigger_phrase
pair_158,CASE-3669_vs_CASE-3839,case-3670,case-3840,escalate,refuse_due_to_policy,trigger_phrase
pair_159,CASE-3669_vs_CASE-3841,case-3670,case-3842,escalate,refuse_due_to_policy,trigger_phrase
pair_160,CASE-3669_vs_CASE-3843,case-3670,case-3844,escalate,refuse_due_to_policy,trigger_phrase
pair_161,CASE-3669_vs_CASE-3845,case-3670,case-3846,escalate,refuse_due_to_policy,trigger_phrase
pair_162,CASE-3669_vs_CASE-3847,case-3670,case-3848,escalate,refuse_due_to_policy,trigger_phrase
pair_163,CASE-3669_vs_CASE-3849,case-3670,case-3850,escalate,refuse_due_to_policy,trigger_phrase
pair_164,CASE-3669_vs_CASE-3851,case-3670,case-3852,escalate,refuse_due_to_policy,trigger_phrase
pair_165,CASE-3669_vs_CASE-3853,case-3670,case-3854,escalate,refuse_due_to_policy,trigger_phrase
pair_166,CASE-3669_vs_CASE-3855,case-3670,case-3856,escalate,refuse_due_to_policy,trigger_phrase
pair_167,CASE-3669_vs_CASE-3857,case-3670,case-3858,escalate,refuse_due_to_policy,trigger_phrase
pair_168,CASE-3669_vs_CASE-3859,case-3670,case-3860,escalate,refuse_due_to_policy,trigger_phrase
pair_169,CASE-3669_vs_CASE-3861,case-3670,case-3862,escalate,refuse_due_to_policy,trigger_phrase
pair_170,CASE-3669_vs_CASE-3863,case-3670,case-3864,escalate,refuse_due_to_policy,trigger_phrase
pair_171,CASE-3669_vs_CASE-3865,case-3670,case-3866,escalate,refuse_due_to_policy,trigger_phrase
pair_172,CASE-3669_vs_CASE-3867,case-3670,case-3868,escalate,refuse_due_to_policy,trigger_phrase
pair_173,CASE-3669_vs_CASE-3869,case-3670,case-3870,escalate,refuse_due_to_policy,trigger_phrase
pair_174,CASE-3669_vs_CASE-3871,case-3670,case-3872,escalate,refuse_due_to_policy,trigger_phrase
pair_175,CASE-3669_vs_CASE-3873,case-3670,case-3874,escalate,refuse_due_to_policy,trigger_phrase
pair_176,CASE-3672_vs_CASE-3825,case-3673,case-3826,escalate,refuse_due_to_policy,trigger_phrase
pair_177,CASE-3672_vs_CASE-3827,case-3673,case-3828,escalate,refuse_due_to_policy,trigger_phrase
pair_178,CASE-3672_vs_CASE-3829,case-3673,case-3830,escalate,refuse_due_to_policy,trigger_phrase
pair_179,CASE-3672_vs_CASE-3831,case-3673,case-3832,escalate,refuse_due_to_policy,trigger_phrase
pair_180,CASE-3672_vs_CASE-3833,case-3673,case-3834,escalate,refuse_due_to_policy,trigger_phrase
pair_181,CASE-3672_vs_CASE-3835,case-3673,case-3836,escalate,refuse_due_to_policy,trigger_phrase
pair_182,CASE-3672_vs_CASE-3837,case-3673,case-3838,escalate,refuse_due_to_policy,trigger_phrase
pair_183,CASE-3672_vs_CASE-3839,case-3673,case-3840,escalate,refuse_due_to_policy,trigger_phrase
pair_184,CASE-3672_vs_CASE-3841,case-3673,case-3842,escalate,refuse_due_to_policy,trigger_phrase
pair_185,CASE-3672_vs_CASE-3843,case-3673,case-3844,escalate,refuse_due_to_policy,trigger_phrase
pair_186,CASE-3672_vs_CASE-3845,case-3673,case-3846,escalate,refuse_due_to_policy,trigger_phrase
pair_187,CASE-3672_vs_CASE-3847,case-3673,case-3848,escalate,refuse_due_to_policy,trigger_phrase
pair_188,CASE-3672_vs_CASE-3849,case-3673,case-3850,escalate,refuse_due_to_policy,trigger_phrase
pair_189,CASE-3672_vs_CASE-3851,case-3673,case-3852,escalate,refuse_due_to_policy,trigger_phrase
pair_190,CASE-3672_vs_CASE-3853,case-3673,case-3854,escalate,refuse_due_to_policy,trigger_phrase
pair_191,CASE-3672_vs_CASE-3855,case-3673,case-3856,escalate,refuse_due_to_policy,trigger_phrase
pair_192,CASE-3672_vs_CASE-3857,case-3673,case-3858,escalate,refuse_due_to_policy,trigger_phrase
pair_193,CASE-3672_vs_CASE-3859,case-3673,case-3860,escalate,refuse_due_to_policy,trigger_phrase
pair_194,CASE-3672_vs_CASE-3861,case-3673,case-3862,escalate,refuse_due_to_policy,trigger_phrase
pair_195,CASE-3672_vs_CASE-3863,case-3673,case-3864,escalate,refuse_due_to_policy,trigger_phrase
pair_196,CASE-3672_vs_CASE-3865,case-3673,case-3866,escalate,refuse_due_to_policy,trigger_phrase
pair_197,CASE-3672_vs_CASE-3867,case-3673,case-3868,escalate,refuse_due_to_policy,trigger_phrase
pair_198,CASE-3672_vs_CASE-3869,case-3673,case-3870,escalate,refuse_due_to_policy,trigger_phrase
pair_199,CASE-3672_vs_CASE-3871,case-3673,case-3872,escalate,refuse_due_to_policy,trigger_phrase
pair_200,CASE-3672_vs_CASE-3873,case-3673,case-3874,escalate,refuse_due_to_policy,trigger_phrase
pair_201,CASE-3675_vs_CASE-3825,case-3676,case-3826,escalate,refuse_due_to_policy,trigger_phrase
pair_202,CASE-3675_vs_CASE-3827,case-3676,case-3828,escalate,refuse_due_to_policy,trigger_phrase
pair_203,CASE-3675_vs_CASE-3829,case-3676,case-3830,escalate,refuse_due_to_policy,trigger_phrase
pair_204,CASE-3675_vs_CASE-3831,case-3676,case-3832,escalate,refuse_due_to_policy,trigger_phrase
pair_205,CASE-3675_vs_CASE-3833,case-3676,case-3834,escalate,refuse_due_to_policy,trigger_phrase
pair_206,CASE-3675_vs_CASE-3835,case-3676,case-3836,escalate,refuse_due_to_policy,trigger_phrase
pair_207,CASE-3675_vs_CASE-3837,case-3676,case-3838,escalate,refuse_due_to_policy,trigger_phrase
pair_208,CASE-3675_vs_CASE-3839,case-3676,case-3840,escalate,refuse_due_to_policy,trigger_phrase
pair_209,CASE-3675_vs_CASE-3841,case-3676,case-3842,escalate,refuse_due_to_policy,trigger_phrase
pair_210,CASE-3675_vs_CASE-3843,case-3676,case-3844,escalate,refuse_due_to_policy,trigger_phrase
pair_211,CASE-3675_vs_CASE-3845,case-3676,case-3846,escalate,refuse_due_to_policy,trigger_phrase
pair_212,CASE-3675_vs_CASE-3847,case-3676,case-3848,escalate,refuse_due_to_policy,trigger_phrase
pair_213,CASE-3675_vs_CASE-3849,case-3676,case-3850,escalate,refuse_due_to_policy,trigger_phrase
pair_214,CASE-3675_vs_CASE-3851,case-3676,case-3852,escalate,refuse_due_to_policy,trigger_phrase
pair_215,CASE-3675_vs_CASE-3853,case-3676,case-3854,escalate,refuse_due_to_policy,trigger_phrase
pair_216,CASE-3675_vs_CASE-3855,case-3676,case-3856,escalate,refuse_due_to_policy,trigger_phrase
pair_217,CASE-3675_vs_CASE-3857,case-3676,case-3858,escalate,refuse_due_to_policy,trigger_phrase
pair_218,CASE-3675_vs_CASE-3859,case-3676,case-3860,escalate,refuse_due_to_policy,trigger_phrase
pair_219,CASE-3675_vs_CASE-3861,case-3676,case-3862,escalate,refuse_due_to_policy,trigger_phrase
pair_220,CASE-3675_vs_CASE-3863,case-3676,case-3864,escalate,refuse_due_to_policy,trigger_phrase
pair_221,CASE-3675_vs_CASE-3865,case-3676,case-3866,escalate,refuse_due_to_policy,trigger_phrase
pair_222,CASE-3675_vs_CASE-3867,case-3676,case-3868,escalate,refuse_due_to_policy,trigger_phrase
pair_223,CASE-3675_vs_CASE-3869,case-3676,case-3870,escalate,refuse_due_to_policy,trigger_phrase
pair_224,CASE-3675_vs_CASE-3871,case-3676,case-3872,escalate,refuse_due_to_policy,trigger_phrase
pair_225,CASE-3675_vs_CASE-3873,case-3676,case-3874,escalate,refuse_due_to_policy,trigger_phrase
pair_226,CASE-3678_vs_CASE-3825,case-3679,case-3826,escalate,refuse_due_to_policy,trigger_phrase
pair_227,CASE-3678_vs_CASE-3827,case-3679,case-3828,escalate,refuse_due_to_policy,trigger_phrase
pair_228,CASE-3678_vs_CASE-3829,case-3679,case-3830,escalate,refuse_due_to_policy,trigger_phrase
pair_229,CASE-3678_vs_CASE-3831,case-3679,case-3832,escalate,refuse_due_to_policy,trigger_phrase
pair_230,CASE-3678_vs_CASE-3833,case-3679,case-3834,escalate,refuse_due_to_policy,trigger_phrase
pair_231,CASE-3678_vs_CASE-3835,case-3679,case-3836,escalate,refuse_due_to_policy,trigger_phrase
pair_232,CASE-3678_vs_CASE-3837,case-3679,case-3838,escalate,refuse_due_to_policy,trigger_phrase
pair_233,CASE-3678_vs_CASE-3839,case-3679,case-3840,escalate,refuse_due_to_policy,trigger_phrase
pair_234,CASE-3678_vs_CASE-3841,case-3679,case-3842,escalate,refuse_due_to_policy,trigger_phrase
pair_235,CASE-3678_vs_CASE-3843,case-3679,case-3844,escalate,refuse_due_to_policy,trigger_phrase
pair_236,CASE-3678_vs_CASE-3845,case-3679,case-3846,escalate,refuse_due_to_policy,trigger_phrase
pair_237,CASE-3678_vs_CASE-3847,case-3679,case-3848,escalate,refuse_due_to_policy,trigger_phrase
pair_238,CASE-3678_vs_CASE-3849,case-3679,case-3850,escalate,refuse_due_to_policy,trigger_phrase
pair_239,CASE-3678_vs_CASE-3851,case-3679,case-3852,escalate,refuse_due_to_policy,trigger_phrase
pair_240,CASE-3678_vs_CASE-3853,case-3679,case-3854,escalate,refuse_due_to_policy,trigger_phrase
pair_241,CASE-3678_vs_CASE-3855,case-3679,case-3856,escalate,refuse_due_to_policy,trigger_phrase
pair_242,CASE-3678_vs_CASE-3857,case-3679,case-3858,escalate,refuse_due_to_policy,trigger_phrase
pair_243,CASE-3678_vs_CASE-3859,case-3679,case-3860,escalate,refuse_due_to_policy,trigger_phrase
pair_244,CASE-3678_vs_CASE-3861,case-3679,case-3862,escalate,refuse_due_to_policy,trigger_phrase
pair_245,CASE-3678_vs_CASE-3863,case-3679,case-3864,escalate,refuse_due_to_policy,trigger_phrase
pair_246,CASE-3678_vs_CASE-3865,case-3679,case-3866,escalate,refuse_due_to_policy,trigger_phrase
pair_247,CASE-3678_vs_CASE-3867,case-3679,case-3868,escalate,refuse_due_to_policy,trigger_phrase
pair_248,CASE-3678_vs_CASE-3869,case-3679,case-3870,escalate,refuse_due_to_policy,trigger_phrase
pair_249,CASE-3678_vs_CASE-3871,case-3679,case-3872,escalate,refuse_due_to_policy,trigger_phrase
pair_250,CASE-3678_vs_CASE-3873,case-3679,case-3874,escalate,refuse_due_to_policy,trigger_phrase
pair_251,CASE-3681_vs_CASE-3825,case-3682,case-3826,escalate,refuse_due_to_policy,trigger_phrase
pair_252,CASE-3681_vs_CASE-3827,case-3682,case-3828,escalate,refuse_due_to_policy,trigger_phrase
pair_253,CASE-3681_vs_CASE-3829,case-3682,case-3830,escalate,refuse_due_to_policy,trigger_phrase
